0.131975	21.8134
0.155279	17.8671
0.173062	15.4306
0.184522	13.6007
0.201652	11.4627
0.217099	11.3692
0.228012	12.898
0.241797	16.8729
0.252696	19.6952
0.268026	22.0722
0.287094	24.9383
0.30759	23.4601
0.323185	19.1391
0.348043	15.0521
0.378515	11.9832
0.40556	10.7792
0.445371	9.50078
0.518717	10.0571
0.561092	11.739
0.615941	13.9271
0.637406	16.1249
0.676044	18.7454
0.724189	20.0877
0.760792	18.4413
0.791468	16.1228
0.847997	14.8012
0.908453	14.9825
0.935388	19.0495
0.982304	23.4441
1.00667	25.329
1.05234	23.6348
1.08941	20.4959
1.1279	16.3841
1.22055	13.6966
1.35359	12.2703
1.53106	10.4683
1.98761	8.89388
2.36139	8.09815
2.90374	7.43373
3.90148	6.578
5.19102	5.56592
7.54576	5.00583
10.2885	4.68933
14.0287	4.30433
19.5091	3.87129
27.3973	3.62646
38.6638	3.46695
63.2422	3.30071
100.928	3.22018
170.864	3.18012
263.427	3.32491
366.254	3.57699
