0.138708	314.683	0.421687	27.473
0.187862	156.463	0.502913	24.4287
0.235852	92.7566	0.577484	23.4882
0.274426	70.2046	0.663111	22.5839
0.303662	53.1395	0.820879	23.2484
0.344511	42.4407	0.954306	24.1695
0.357853	37.7451	1.0956	24.8834
0.385976	33.8966	1.25789	25.1227
0.421642	28.5676	1.44444	23.9207
0.490405	25.0334	1.9046	21.8993
0.570253	23.8352	2.16006	19.8581
0.671465	22.9168	2.81303	17.3139
0.79044	24.1759	3.80414	14.9481
0.918822	26.1351	5.08073	12.4721
1.00309	27.8446	6.53348	11.1977
1.06783	30.5491	9.28953	10.1013
1.15102	34.5123	13.8889	9.0672
1.20984	39.9547	22.6725	8.2985
1.27194	42.7788	31.4356	7.59672
1.38857	45.8001	54.6377	7.15879
1.57416	48.3192	99.8549	6.81183
1.85343	47.6055	189.475	6.80572
2.20982	46.9016	337.638	6.86694
2.80573	44.8699	557.992	6.8957
3.56233	42.9262	1045.49	7.09448
4.6379	41.4683	1485.99	7.30183
6.42937	40.4495	2112.04	7.55202
7.96001	39.8493		
9.85465	39.8373		
12.9913	39.4349		
18.9366	39.0309		
26.9172	39.0117		
37.3125	38.8039		
51.0775	38.4098		
75.3893	38.7656		
100.64	38.5611		
132.668	38.7349		
172.71	38.5319		
254.909	39.2706		
362.323	39.8305		
606.323	40.7855		
989.485	41.5615		
1497.57	42.3566		
2075.78	43.1724		
3988.12	45.0708		
9974.28	47.7295		
18922.7	51.0609		
45573.9	54.8738		
100523	58.9788		
