 #  Total cross section table (last run of 'elscata').
 #
 #  Z =   2,   projectile: positron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   2.00000E+06  1.71682E-20  9.98618E-25  2.85737E-24  0.00000E+00  1.0E-03
   2.50000E+06  1.69386E-20  6.98675E-25  2.00338E-24  0.00000E+00  6.0E-04
   3.00000E+06  1.68061E-20  5.19387E-25  1.49160E-24  0.00000E+00  6.1E-04
   3.50000E+06  1.67243E-20  4.02856E-25  1.15834E-24  0.00000E+00  6.3E-04
   4.00000E+06  1.66655E-20  3.22457E-25  9.28081E-25  0.00000E+00  6.4E-04
   4.50000E+06  1.66304E-20  2.64482E-25  7.61849E-25  0.00000E+00  6.4E-04
   5.00000E+06  1.66011E-20  2.21176E-25  6.37555E-25  0.00000E+00  6.5E-04
   6.00000E+06  1.65659E-20  1.61810E-25  4.66976E-25  0.00000E+00  6.6E-04
   7.00000E+06  1.65470E-20  1.23877E-25  3.57838E-25  0.00000E+00  6.7E-04
   8.00000E+06  1.65306E-20  9.80775E-26  2.83535E-25  0.00000E+00  6.7E-04
   9.00000E+06  1.65249E-20  7.97091E-26  2.30590E-25  0.00000E+00  6.8E-04
   1.00000E+07  1.65149E-20  6.61360E-26  1.91438E-25  0.00000E+00  6.8E-04
   1.25000E+07  1.65006E-20  4.43945E-26  1.28663E-25  0.00000E+00  6.9E-04
   1.50000E+07  1.64895E-20  3.19573E-26  9.27099E-26  0.00000E+00  6.9E-04
   1.75000E+07  1.64815E-20  2.41563E-26  7.01382E-26  0.00000E+00  7.0E-04
   2.00000E+07  1.64751E-20  1.89311E-26  5.50082E-26  0.00000E+00  7.0E-04
   2.50000E+07  1.64669E-20  1.25646E-26  3.65572E-26  0.00000E+00  7.0E-04
   3.00000E+07  1.64596E-20  8.96778E-27  2.61229E-26  0.00000E+00  7.0E-04
   3.50000E+07  1.64581E-20  6.73235E-27  1.96327E-26  0.00000E+00  7.1E-04
   4.00000E+07  1.64558E-20  5.24555E-27  1.53130E-26  0.00000E+00  7.1E-04
   4.50000E+07  1.64573E-20  4.20527E-27  1.22888E-26  0.00000E+00  7.1E-04
   5.00000E+07  1.64587E-20  3.44822E-27  1.00867E-26  0.00000E+00  7.1E-04
   6.00000E+07  1.64646E-20  2.44151E-27  7.15596E-27  0.00000E+00  7.1E-04
   7.00000E+07  1.64721E-20  1.82007E-27  5.34474E-27  0.00000E+00  7.1E-04
   8.00000E+07  1.64699E-20  1.40901E-27  4.14526E-27  0.00000E+00  7.1E-04
   9.00000E+07  1.64760E-20  1.12303E-27  3.30969E-27  0.00000E+00  7.1E-04
   1.00000E+08  1.64773E-20  9.15885E-28  2.70362E-27  0.00000E+00  7.1E-04
   1.25000E+08  1.64772E-20  5.93039E-28  1.75682E-27  0.00000E+00  7.9E-04
