atten filen
#-----------------------------------
198.686		5.78204
214.314		17.4578
229.932		30.6935
242.938		43.1534
251.985		60.2993
262.299		83.6833
271.31		106.289
282.98		122.651
296.006		131.991
307.745		138.213
319.514		139.755
331.31		137.396
344.415		135.036
357.51		134.236
371.908		134.213
382.353		138.097
392.772		145.881
401.882		153.667
409.641		167.695
420.034		179.379
430.427		191.062
440.861		196.506
456.547		199.602
472.286		194.897
486.736		187.075
498.595		175.357
507.857		160.522
519.715		148.804
531.632		128.505
543.527		111.327
556.758		90.2464
573.904		70.7197
593.653		53.5291
612.109		34.0005
629.203		22.2739
652.827		12.8773
689.503		8.92035
