 #  Total cross section table (last run of 'elscata').
 #
 #  Z =   9,   projectile: positron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+02  8.14328E-17  2.39081E-17  3.88601E-17  1.56684E-16  2.3E-06
   1.25000E+02  7.96926E-17  2.10709E-17  3.54198E-17  1.40908E-16  6.3E-05
   1.50000E+02  7.71049E-17  1.87758E-17  3.23410E-17  1.28115E-16  3.7E-06
   1.75000E+02  7.43874E-17  1.69024E-17  2.96986E-17  1.17541E-16  4.2E-05
   2.00000E+02  7.17519E-17  1.53355E-17  2.74212E-17  1.08679E-16  1.5E-05
   2.50000E+02  6.69981E-17  1.28932E-17  2.37500E-17  9.45268E-17  7.9E-06
   3.00000E+02  6.29419E-17  1.10812E-17  2.09074E-17  8.37239E-17  1.9E-05
   3.50000E+02  5.94697E-17  9.68679E-18  1.86434E-17  7.51601E-17  1.8E-05
   4.00000E+02  5.64610E-17  8.57926E-18  1.67957E-17  6.81889E-17  8.6E-06
   4.50000E+02  5.38306E-17  7.68217E-18  1.52615E-17  6.23884E-17  2.8E-05
   5.00000E+02  5.15081E-17  6.94275E-18  1.39670E-17  5.74801E-17  5.3E-05
   6.00000E+02  4.75699E-17  5.79653E-18  1.19013E-17  4.96210E-17  6.8E-06
   7.00000E+02  4.43176E-17  4.94753E-18  1.03207E-17  4.36153E-17  2.7E-05
   8.00000E+02  4.15507E-17  4.29139E-18  9.06669E-18  3.88886E-17  4.4E-05
   9.00000E+02  3.91454E-17  3.76775E-18  8.04557E-18  3.50801E-17  8.7E-06
   1.00000E+03  3.70244E-17  3.34061E-18  7.19869E-18  3.19497E-17  1.7E-05
   1.25000E+03  3.26532E-17  2.55732E-18  5.61062E-18  2.61248E-17  1.0E-03
   1.50000E+03  2.92404E-17  2.03117E-18  4.51620E-18  2.21027E-17  7.2E-04
   1.75000E+03  2.64942E-17  1.65856E-18  3.72627E-18  1.91596E-17  1.4E-03
   2.00000E+03  2.42339E-17  1.38405E-18  3.13560E-18  1.69124E-17  7.9E-04
   2.50000E+03  2.07271E-17  1.01246E-18  2.32310E-18  1.37069E-17  8.5E-04
   3.00000E+03  1.81279E-17  7.77392E-19  1.80063E-18  1.15297E-17  1.4E-03
   3.50000E+03  1.61216E-17  6.18292E-19  1.44278E-18  9.95404E-18  1.0E-03
   4.00000E+03  1.45244E-17  5.05086E-19  1.18583E-18  8.76064E-18  7.8E-04
   4.50000E+03  1.32220E-17  4.21380E-19  9.94455E-19  7.82534E-18  7.8E-04
   5.00000E+03  1.21390E-17  3.57572E-19  8.47680E-19  7.07252E-18  1.9E-03
