    100.0        268.8        203.8        178.3    
    125.9        270.2        205.1        179.2    
    158.5        272.2        206.8        180.2    
    199.5        274.3        208.6        181.3    
    251.2        276.5        210.4        182.4    
    316.2        278.6        212.2        183.5    
    398.1        280.8        214.1        184.7    
    501.2        283.1        216.0        186.0    
    631.0        285.3        218.0        187.3    
    794.3        287.6        220.0        188.7    
    1000.        290.0        222.0        190.1    
    1259.        292.3        224.0        191.6    
    1585.        294.8        226.1        193.1    
    1995.        297.2        228.2        194.7    
    2512.        299.7        230.4        196.4    
    3162.        302.2        232.6        198.1    
    3981.        304.8        234.9        199.9    
    5012.        307.4        237.2        201.8    
    6310.        310.0        239.5        203.7    
    7943.        312.7        241.9        205.7    
   1.0000E+04    315.4        244.3        207.7    
   1.2589E+04    318.1        246.7        209.9    
   1.5849E+04    320.7        248.9        212.2    
   1.9953E+04    323.4        251.3        214.6    
   2.5119E+04    326.1        253.7        217.0    
   3.1623E+04    328.9        256.1        219.6    
   3.9811E+04    331.8        258.6        222.2    
   5.0119E+04    334.7        261.3        224.8    
   6.3096E+04    337.7        263.9        227.5    
   7.9433E+04    340.8        266.7        230.4    
   1.0000E+05    343.9        269.6        233.2    
   1.2589E+05    347.1        272.5        236.2    
   1.5849E+05    350.3        275.5        239.3    
   1.9953E+05    353.7        278.6        242.4    
   2.5119E+05    357.1        281.8        245.6    
   3.1623E+05    360.6        285.1        248.9    
   3.9811E+05    364.1        288.4        252.3    
   5.0119E+05    367.7        291.9        255.8    
   6.3096E+05    371.4        295.5        259.4    
   7.9433E+05    375.2        299.1        263.1    
   1.0000E+06    379.1        302.9        266.8    
   1.2589E+06    383.2        307.0        271.0    
   1.5849E+06    388.1        312.1        276.0    
   1.9953E+06    392.9        317.1        281.0    
   2.5119E+06    397.8        322.2        286.1    
   3.1623E+06    402.7        327.4        291.2    
   3.9811E+06    407.6        332.5        296.4    
   5.0119E+06    412.5        337.7        301.6    
   6.3096E+06    417.5        342.9        306.7    
   7.9433E+06    422.4        348.1        311.9    
   1.0000E+07    427.4        353.3        317.2    
   1.2589E+07    432.3        358.5        322.4    
   1.5849E+07    437.3        363.8        327.7    
   1.9953E+07    442.3        369.1        332.9    
   2.5119E+07    447.4        374.3        338.2    
   3.1623E+07    452.4        379.6        343.5    
   3.9811E+07    457.4        384.9        348.8    
   5.0119E+07    462.4        390.2        354.1    
   6.3096E+07    467.5        395.5        359.4    
   7.9433E+07    472.5        400.8        364.6    
   1.0000E+08    477.6        406.1        369.9    
   1.2589E+08    482.6        411.3        375.2    
   1.5849E+08    487.6        416.4        380.2    
   1.9953E+08    492.6        421.4        385.2    
   2.5119E+08    497.6        426.4        390.2    
   3.1623E+08    502.6        431.5        395.3    
   3.9811E+08    507.6        436.6        400.3    
   5.0119E+08    512.6        441.7        405.4    
   6.3096E+08    517.6        446.8        410.4    
   7.9433E+08    522.7        451.9        415.5    
   1.0000E+09    527.7        457.0        420.5    
   1.2589E+09    532.7        462.1        425.6    
   1.5849E+09    537.7        467.3        430.6    
   1.9953E+09    542.7        472.4        435.6    
   2.5119E+09    547.7        477.6        440.6    
   3.1623E+09    552.7        482.7        445.7    
   3.9811E+09    557.7        487.9        450.6    
   5.0119E+09    562.7        493.0        455.6    
   6.3096E+09    567.7        498.2        460.6    
   7.9433E+09    572.7        503.4        465.5    
   1.0000E+10    577.7        508.5        470.5    
   1.2589E+10    582.6        513.7        475.4    
   1.5849E+10    587.6        518.8        480.3    
   1.9953E+10    592.5        524.0        485.1    
   2.5119E+10    597.5        529.1        490.0    
   3.1623E+10    602.4        534.3        494.8    
   3.9811E+10    607.3        539.4        499.6    
   5.0119E+10    612.1        544.5        504.3    
   6.3096E+10    617.0        549.6        509.0    
   7.9433E+10    621.8        554.7        513.7    
   1.0000E+11    626.7        559.8        518.3    
   1.2589E+11    631.5        564.9        523.0    
   1.5849E+11    636.3        570.0        527.5    
   1.9953E+11    641.0        575.0        532.0    
   2.5119E+11    645.8        580.0        536.5    
   3.1623E+11    650.5        585.0        541.0    
   3.9811E+11    655.2        590.0        545.3    
   5.0119E+11    659.8        595.0        549.7    
   6.3096E+11    664.5        599.9        554.0    
   7.9433E+11    669.1        604.9        558.2    
