 #  Total cross section table (last run of 'elscata').
 #
 #  Z =   3,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+02  4.45247E-16  3.67101E-17  5.91922E-17  4.86015E-16  2.5E-05
   1.25000E+02  3.65191E-16  2.70430E-17  4.53444E-17  4.05319E-16  7.3E-06
   1.50000E+02  3.08878E-16  2.08188E-17  3.60005E-17  3.48107E-16  1.4E-05
   1.75000E+02  2.67030E-16  1.65630E-17  2.93789E-17  3.05353E-16  8.9E-06
   2.00000E+02  2.34690E-16  1.35200E-17  2.44976E-17  2.72151E-16  5.5E-05
   2.50000E+02  1.87853E-16  9.54450E-18  1.78960E-17  2.23853E-16  7.0E-06
   3.00000E+02  1.55649E-16  7.13008E-18  1.37278E-17  1.90343E-16  7.9E-05
   3.50000E+02  1.32039E-16  5.54177E-18  1.08970E-17  1.65687E-16  1.1E-05
   4.00000E+02  1.13899E-16  4.44329E-18  8.88091E-18  1.46760E-16  1.3E-05
   4.50000E+02  9.94674E-17  3.65049E-18  7.39901E-18  1.31759E-16  1.4E-04
   5.00000E+02  8.76973E-17  3.05840E-18  6.27394E-18  1.19571E-16  4.4E-05
   6.00000E+02  6.96938E-17  2.24676E-18  4.70058E-18  1.00952E-16  1.8E-05
   7.00000E+02  5.73305E-17  1.72840E-18  3.67278E-18  8.73850E-17  2.8E-05
   8.00000E+02  4.85560E-17  1.37653E-18  2.96199E-18  7.70497E-17  1.9E-04
   9.00000E+02  4.20372E-17  1.12697E-18  2.44968E-18  6.89046E-17  3.5E-05
   1.00000E+03  3.70147E-17  9.42471E-19  2.06608E-18  6.23216E-17  4.3E-05
   1.25000E+03  2.84081E-17  6.44851E-19  1.43727E-18  5.03216E-17  9.7E-02
   1.50000E+03  2.29849E-17  4.72154E-19  1.06556E-18  4.22127E-17  6.5E-02
   1.75000E+03  1.92690E-17  3.62241E-19  8.25664E-19  3.63657E-17  1.0E+00
   2.00000E+03  1.65706E-17  2.87618E-19  6.60966E-19  3.19496E-17  1.0E+00
   2.50000E+03  1.29241E-17  1.95154E-19  4.54310E-19  2.57211E-17  6.3E-02
   3.00000E+03  1.05814E-17  1.41860E-19  3.33535E-19  2.15380E-17  1.0E+00
   3.50000E+03  8.95294E-18  1.08176E-19  2.56370E-19  1.85344E-17  9.1E-02
   4.00000E+03  7.75695E-18  8.54561E-20  2.03865E-19  1.62727E-17  7.2E-02
   4.50000E+03  6.84215E-18  6.93635E-20  1.66404E-19  1.45083E-17  1.0E+00
   5.00000E+03  6.12025E-18  5.75244E-20  1.38673E-19  1.30932E-17  1.0E+00
   6.00000E+03  5.05466E-18  4.15670E-20  1.01015E-19  1.09646E-17  1.0E+00
   7.00000E+03  4.30671E-18  3.15533E-20  7.71798E-20  9.43955E-18  1.0E+00
