707 714.286 676.286 678.571 675 678.571 668.571 678.571 0.7000000
746 750 713.429 714.286 713.429 714.286 711.143 714.286 0.7000000
753.857 750 721.714 750 722 714.286 723.571 714.286 0.7000000
766.714 750 734 714.286 734 714.286 717.286 714.286 0.7000000
716.571 714.286 685.286 678.571 684.286 678.571 687.286 678.571 0.7000000
691.571 678.571 659 678.571 659.286 678.571 663.571 678.571 0.7000000
773.286 785.714 741 750 740 750 738.714 750 0.7000000
728.286 714.286 695.571 714.286 696.143 714.286 709.714 714.286 0.7000000
712.857 714.286 680.714 678.571 680.286 678.571 683.571 678.571 0.7000000
733.571 750 702 714.286 701.714 714.286 705.286 714.286 0.7000000
768.429 785.714 735.571 750 736.143 750 738.857 750 0.7000000
717.714 714.286 684.143 678.571 684.286 678.571 687.429 678.571 0.7000000
867.857 857.143 835.857 857.143 835.571 821.429 844.286 857.143 0.7000000
736.857 750 706.714 714.286 704.857 714.286 701.286 714.286 0.7000000
712 714.286 679 678.571 678.429 678.571 678.571 678.571 0.7000000
698 714.286 666.286 678.571 664.857 678.571 660.429 678.571 0.7000000
722.571 714.286 691 678.571 691.286 678.571 700.714 714.286 0.7000000
695.857 678.571 662.857 678.571 663.286 678.571 661.429 678.571 0.7000000
875.571 892.857 843.857 857.143 843.571 857.143 828.714 821.429 0.7000000
775.571 785.714 745.286 750 744.571 750 742.857 750 0.7000000
756.714 750 725.143 714.286 724.143 714.286 724.857 714.286 0.7000000
730.429 714.286 699.429 714.286 698.429 714.286 694.429 678.571 0.7000000
735.286 750 700.714 678.571 701.143 714.286 701.286 714.286 0.7000000
765 750 731.857 750 732.714 750 728.714 714.286 0.7000000
715.286 714.286 684 678.571 683 678.571 689.714 678.571 0.7000000
731.857 714.286 701.286 714.286 700.286 714.286 688.286 678.571 0.7000000
1027.71 1035.71 994.857 1000 995.429 1000 995.143 1000 0.7000000
859 857.143 826.714 821.429 827 821.429 834.286 821.429 0.7000000
769.286 785.714 739.714 750 738 750 743.714 750 0.7000000
705.286 714.286 672 678.571 672.571 678.571 677.571 678.571 0.7000000
864 857.143 832.571 821.429 832 821.429 842.571 857.143 0.7000000
733.571 750 701.143 714.286 701 714.286 708.429 714.286 0.7000000
804.143 821.429 771.857 785.714 772.571 785.714 772.143 785.714 0.7000000
738.286 750 705 714.286 704.286 714.286 700.429 714.286 0.7000000
741.714 750 705.857 714.286 706.429 714.286 709.286 714.286 0.7000000
698.857 714.286 668 678.571 666.571 678.571 658.143 642.857 0.7000000
717.286 714.286 684.714 678.571 684.857 678.571 693 678.571 0.7000000
704.143 714.286 672.857 678.571 672.429 678.571 672.429 678.571 0.7000000
728.714 714.286 697.571 714.286 696.286 678.571 697.286 714.286 0.7000000
713 714.286 681.143 678.571 681.143 678.571 690.714 678.571 0.7000000
724.286 714.286 691.714 678.571 691.857 678.571 696.286 714.286 0.7000000
737.571 750 706.571 714.286 706 714.286 695.429 714.286 0.7000000
754.714 750 722.286 714.286 722.286 714.286 729.429 714.286 0.7000000
672.429 678.571 640.429 642.857 640.429 642.857 652 642.857 0.7000000
749.714 750 718.571 714.286 717.714 714.286 724.143 714.286 0.7000000
744.714 750 714 714.286 713.143 714.286 724 714.286 0.7000000
722.286 714.286 691.143 678.571 691 678.571 692.571 678.571 0.7000000
765.429 785.714 733.429 750 733.857 750 737.857 750 0.7000000
761.857 750 730 750 729.857 714.286 736.143 750 0.7000000
880.429 892.857 848.714 857.143 848.143 857.143 853.571 857.143 0.7000000
717.286 714.286 683.714 678.571 684.857 678.571 692.857 678.571 0.7000000
727.857 714.286 697.143 714.286 696.571 714.286 711.571 714.286 0.7000000
723.857 714.286 690.429 678.571 691.143 678.571 691 678.571 0.7000000
792.571 785.714 763 750 762.143 750 763 750 0.7000000
764 750 731.857 750 731 714.286 741.571 750 0.7000000
712.286 714.286 682 678.571 681 678.571 676 678.571 0.7000000
725.143 714.286 691.714 678.571 690.857 678.571 697.571 714.286 0.7000000
688.571 678.571 657 678.571 656.143 642.857 660 642.857 0.7000000
728.429 750 696.143 714.286 697 714.286 703.714 714.286 0.7000000
698.429 714.286 665.857 678.571 666 678.571 671 678.571 0.7000000
738 750 707.143 714.286 706.286 714.286 692.714 678.571 0.7000000
678.429 678.571 645.714 642.857 646.857 642.857 652 642.857 0.7000000
778.857 750 744.857 714.286 747.429 750 755.143 750 0.7000000
732.286 750 700 678.571 699 714.286 698 714.286 0.7000000
753.429 750 721.857 714.286 720.857 714.286 729 714.286 0.7000000
821.571 821.429 789.429 785.714 790.714 785.714 794.429 785.714 0.7000000
784.571 785.714 750.714 750 751.143 750 753.857 750 0.7000000
742.714 750 709.857 714.286 709.429 714.286 714.714 714.286 0.7000000
733.429 750 700.857 714.286 700.714 714.286 701.429 714.286 0.7000000
703.286 714.286 671.286 678.571 669.857 678.571 678.571 678.571 0.7000000
802.429 785.714 768 750 768.714 785.714 775.571 785.714 0.7000000
710.714 714.286 678 678.571 677.857 678.571 680.429 678.571 0.7000000
731 714.286 700.571 714.286 699.571 714.286 705.857 714.286 0.7000000
820.143 821.429 790.571 785.714 789.714 785.714 781.429 785.714 0.7000000
754.429 750 722.143 714.286 722.714 714.286 727.286 714.286 0.7000000
685.857 678.571 651.286 642.857 652 642.857 657.286 642.857 0.7000000
856.429 857.143 824.143 821.429 823.714 821.429 831.571 821.429 0.7000000
785.429 785.714 753.857 750 753.143 750 746.714 750 0.7000000
774.714 785.714 741.857 750 742.571 750 733.429 750 0.7000000
800.857 785.714 767.429 750 768.429 750 765.429 750 0.7000000
