   1   1   1
  1  1.391E+00  1.413E+00
  2  1.757E+00  1.792E+00
  3  2.211E+00  2.252E+00
  4  2.762E+00  2.796E+00
  5  3.485E+00  3.549E+00
  6  4.373E+00  4.450E+00
  7  5.501E+00  5.594E+00
  8  6.927E+00  7.026E+00
  9  8.782E+00  8.887E+00
 10  1.099E+01  1.115E+01
 11  1.389E+01  1.416E+01
 12  1.754E+01  1.788E+01
 13  2.218E+01  2.263E+01
 14  2.796E+01  2.849E+01
 15  3.551E+01  3.632E+01
 16  4.491E+01  4.591E+01
 17  5.669E+01  5.796E+01
 18  7.200E+01  7.379E+01
 19  9.110E+01  9.365E+01
 20  1.155E+02  1.187E+02
 21  1.470E+02  1.516E+02
 22  1.874E+02  1.938E+02
 23  2.389E+02  2.477E+02
 24  3.064E+02  3.186E+02
 25  3.912E+02  4.067E+02
 26  5.025E+02  5.261E+02
 27  6.439E+02  6.751E+02
 28  8.318E+02  8.720E+02
 29  1.067E+03  1.122E+03
 30  1.359E+03  1.432E+03
 31  1.756E+03  1.850E+03
 32  2.253E+03  2.375E+03
 33  2.878E+03  3.047E+03
 34  3.619E+03  3.821E+03
 35  4.708E+03  4.996E+03
 36  6.149E+03  6.439E+03
 37  7.834E+03  8.243E+03
 38  1.064E+04  1.129E+04
 39  1.369E+04  1.435E+04
 40  1.852E+04  2.064E+04
 41  2.656E+04  2.664E+04
0 0 0 0 0 0 0 0 0 0 0 0 
   2   1   1
  1  1.395E+00  1.418E+00
  2  1.752E+00  1.782E+00
  3  2.193E+00  2.229E+00
  4  2.769E+00  2.811E+00
  5  3.493E+00  3.555E+00
  6  4.363E+00  4.445E+00
  7  5.532E+00  5.618E+00
  8  6.930E+00  7.036E+00
  9  8.775E+00  8.923E+00
 10  1.106E+01  1.124E+01
 11  1.378E+01  1.396E+01
 12  1.759E+01  1.792E+01
 13  2.221E+01  2.258E+01
 14  2.805E+01  2.867E+01
 15  3.549E+01  3.625E+01
 16  4.474E+01  4.579E+01
 17  5.682E+01  5.812E+01
 18  7.185E+01  7.359E+01
 19  9.147E+01  9.383E+01
 20  1.163E+02  1.198E+02
 21  1.479E+02  1.526E+02
 22  1.882E+02  1.943E+02
 23  2.400E+02  2.487E+02
 24  3.060E+02  3.182E+02
 25  3.922E+02  4.100E+02
 26  5.065E+02  5.299E+02
 27  6.501E+02  6.796E+02
 28  8.304E+02  8.731E+02
 29  1.069E+03  1.129E+03
 30  1.381E+03  1.461E+03
 31  1.772E+03  1.871E+03
 32  2.252E+03  2.395E+03
 33  2.927E+03  3.057E+03
 34  3.742E+03  3.912E+03
 35  4.863E+03  5.124E+03
 36  6.259E+03  6.570E+03
 37  8.491E+03  8.937E+03
 38  1.130E+04  1.184E+04
 39  1.397E+04  1.441E+04
 40  1.954E+04  1.966E+04
0 0 0 0 0 0 0 0 0 0 0 0 
   3   1   1
  1  1.396E+00  1.420E+00
  2  1.740E+00  1.771E+00
  3  2.194E+00  2.233E+00
  4  2.780E+00  2.834E+00
  5  3.459E+00  3.508E+00
  6  4.417E+00  4.506E+00
  7  5.519E+00  5.610E+00
  8  6.940E+00  7.045E+00
  9  8.823E+00  8.958E+00
 10  1.105E+01  1.125E+01
 11  1.406E+01  1.432E+01
 12  1.771E+01  1.800E+01
 13  2.223E+01  2.268E+01
 14  2.830E+01  2.890E+01
 15  3.545E+01  3.622E+01
 16  4.514E+01  4.627E+01
 17  5.691E+01  5.825E+01
 18  7.248E+01  7.426E+01
 19  9.182E+01  9.450E+01
 20  1.164E+02  1.199E+02
 21  1.487E+02  1.536E+02
 22  1.898E+02  1.965E+02
 23  2.419E+02  2.510E+02
 24  3.101E+02  3.226E+02
 25  3.996E+02  4.186E+02
 26  5.100E+02  5.338E+02
 27  6.599E+02  6.964E+02
 28  8.458E+02  8.916E+02
 29  1.086E+03  1.148E+03
 30  1.408E+03  1.498E+03
 31  1.802E+03  1.908E+03
 32  2.264E+03  2.420E+03
 33  2.857E+03  3.020E+03
 34  3.837E+03  3.994E+03
 35  4.849E+03  5.198E+03
 36  6.400E+03  6.902E+03
 37  7.661E+03  8.414E+03
 38  1.095E+04  1.127E+04
 39  1.308E+04  1.338E+04
 40  2.304E+04  2.330E+04
 41  1.950E+04  1.952E+04
0 0 0 0 0 0 0 0 0 0 0 0 
   4   1   1
  1  1.406E+00  1.437E+00
  2  1.754E+00  1.783E+00
  3  2.201E+00  2.242E+00
  4  2.756E+00  2.794E+00
  5  3.486E+00  3.543E+00
  6  4.405E+00  4.487E+00
  7  5.518E+00  5.619E+00
  8  6.916E+00  7.027E+00
  9  8.845E+00  8.955E+00
 10  1.115E+01  1.142E+01
 11  1.398E+01  1.426E+01
 12  1.762E+01  1.788E+01
 13  2.232E+01  2.272E+01
 14  2.825E+01  2.881E+01
 15  3.555E+01  3.633E+01
 16  4.504E+01  4.599E+01
 17  5.720E+01  5.858E+01
 18  7.248E+01  7.415E+01
 19  9.178E+01  9.444E+01
 20  1.170E+02  1.206E+02
 21  1.488E+02  1.536E+02
 22  1.902E+02  1.972E+02
 23  2.423E+02  2.518E+02
 24  3.099E+02  3.224E+02
 25  3.985E+02  4.152E+02
 26  5.119E+02  5.361E+02
 27  6.555E+02  6.908E+02
 28  8.433E+02  8.848E+02
 29  1.085E+03  1.148E+03
 30  1.401E+03  1.464E+03
 31  1.809E+03  1.896E+03
 32  2.318E+03  2.453E+03
 33  2.880E+03  3.105E+03
 34  3.729E+03  3.929E+03
 35  4.930E+03  5.170E+03
 36  6.132E+03  6.501E+03
