 #  Total cross section table (last run of 'elscata').
 #
 #  Z =  83,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+02  8.87014E-16  1.69291E-16  2.71506E-16  8.26765E-16  4.4E-06
   1.25000E+02  8.69504E-16  1.29215E-16  2.31444E-16  7.15680E-16  4.8E-06
   1.50000E+02  8.36694E-16  1.05076E-16  1.97088E-16  6.32910E-16  3.9E-05
   1.75000E+02  7.94847E-16  9.07229E-17  1.71205E-16  5.68694E-16  2.7E-06
   2.00000E+02  7.50545E-16  8.26607E-17  1.53464E-16  5.17272E-16  1.9E-06
   2.50000E+02  6.68362E-16  7.65544E-17  1.34157E-16  4.39770E-16  6.0E-06
   3.00000E+02  6.01189E-16  7.58025E-17  1.24671E-16  3.83760E-16  4.8E-06
   3.50000E+02  5.47780E-16  7.61474E-17  1.17796E-16  3.41212E-16  1.4E-06
   4.00000E+02  5.05089E-16  7.62307E-17  1.11280E-16  3.07680E-16  2.9E-06
   4.50000E+02  4.70453E-16  7.57342E-17  1.04691E-16  2.80524E-16  2.9E-06
   5.00000E+02  4.41931E-16  7.47013E-17  9.81368E-17  2.58035E-16  1.6E-06
   6.00000E+02  3.97936E-16  7.15510E-17  8.58292E-17  2.22819E-16  1.6E-06
   7.00000E+02  3.65732E-16  6.76999E-17  7.52466E-17  1.96324E-16  4.4E-06
   8.00000E+02  3.40984E-16  6.36712E-17  6.65045E-17  1.75568E-16  4.1E-06
   9.00000E+02  3.20579E-16  5.97373E-17  5.93793E-17  1.58848E-16  1.7E-06
   1.00000E+03  3.03802E-16  5.60103E-17  5.36151E-17  1.45092E-16  3.6E-04
   1.25000E+03  2.72273E-16  4.78147E-17  4.34156E-17  1.19428E-16  3.7E-04
   1.50000E+03  2.49439E-16  4.11724E-17  3.69337E-17  1.01630E-16  3.6E-04
   1.75000E+03  2.31627E-16  3.58210E-17  3.24872E-17  8.85523E-17  3.9E-04
   2.00000E+03  2.17111E-16  3.14807E-17  2.92129E-17  7.85288E-17  2.7E-04
   2.50000E+03  1.94528E-16  2.49665E-17  2.45718E-17  6.41625E-17  3.5E-04
   3.00000E+03  1.77527E-16  2.03801E-17  2.12938E-17  5.43538E-17  3.0E-04
   3.50000E+03  1.64130E-16  1.70200E-17  1.87734E-17  4.72230E-17  4.3E-04
   4.00000E+03  1.53267E-16  1.45128E-17  1.67839E-17  4.17584E-17  9.6E-04
