 #  Total cross section table (last run of 'elscata').
 #
 #  Z =   8,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+02  2.60584E-16  1.16460E-16  9.82464E-17  2.06462E-16  4.3E-06
   1.25000E+02  2.24402E-16  8.94451E-17  8.48874E-17  1.85349E-16  2.1E-06
   1.50000E+02  1.98471E-16  7.13300E-17  7.46982E-17  1.68610E-16  7.1E-06
   1.75000E+02  1.78846E-16  5.85152E-17  6.64395E-17  1.54937E-16  1.0E-05
   2.00000E+02  1.63393E-16  4.90829E-17  5.95641E-17  1.43503E-16  8.2E-06
   2.50000E+02  1.40379E-16  3.63143E-17  4.88050E-17  1.25329E-16  1.8E-05
   3.00000E+02  1.23806E-16  2.81925E-17  4.08184E-17  1.11415E-16  1.1E-05
   3.50000E+02  1.11472E-16  2.28292E-17  3.49563E-17  9.99592E-17  2.5E-06
   4.00000E+02  1.01796E-16  1.90547E-17  3.04808E-17  9.04305E-17  3.4E-06
   4.50000E+02  9.38306E-17  1.62316E-17  2.68832E-17  8.24887E-17  2.4E-06
   5.00000E+02  8.72054E-17  1.40450E-17  2.39417E-17  7.58051E-17  1.2E-05
   6.00000E+02  7.67285E-17  1.08896E-17  1.94272E-17  6.52216E-17  6.9E-06
   7.00000E+02  6.87146E-17  8.73847E-18  1.61367E-17  5.72383E-17  1.1E-05
   8.00000E+02  6.23277E-17  7.19297E-18  1.36484E-17  5.10079E-17  7.0E-06
   9.00000E+02  5.70897E-17  6.03919E-18  1.17143E-17  4.60114E-17  1.2E-06
   1.00000E+03  5.27013E-17  5.15201E-18  1.01777E-17  4.19153E-17  5.2E-04
   1.25000E+03  4.42807E-17  3.65224E-18  7.46985E-18  3.43085E-17  1.0E-03
   1.50000E+03  3.82297E-17  2.73763E-18  5.73998E-18  2.90595E-17  8.0E-04
   1.75000E+03  3.36571E-17  2.13569E-18  4.56312E-18  2.52169E-17  6.8E-04
   2.00000E+03  3.00747E-17  1.71703E-18  3.72382E-18  2.22808E-17  7.7E-04
   2.50000E+03  2.48157E-17  1.18557E-18  2.62953E-18  1.80872E-17  1.3E-03
   3.00000E+03  2.11369E-17  8.71895E-19  1.96552E-18  1.52341E-17  6.3E-04
   3.50000E+03  1.84173E-17  6.70471E-19  1.53045E-18  1.31662E-17  1.3E-03
   4.00000E+03  1.63247E-17  5.33085E-19  1.22903E-18  1.15977E-17  1.2E-03
   4.50000E+03  1.46648E-17  4.35044E-19  1.01118E-18  1.03667E-17  2.3E-03
   5.00000E+03  1.33155E-17  3.62447E-19  8.48209E-19  9.37474E-18  3.2E-03
   6.00000E+03  1.12545E-17  2.63827E-19  6.24217E-19  7.87489E-18  4.0E-03
   7.00000E+03  9.75388E-18  2.01390E-19  4.80584E-19  6.79462E-18  4.0E-03
   8.00000E+03  8.61232E-18  1.59221E-19  3.82607E-19  5.97942E-18  3.2E-03
   9.00000E+03  7.71464E-18  1.29326E-19  3.12590E-19  5.34236E-18  4.5E-03
   1.00000E+04  6.99021E-18  1.07319E-19  2.60701E-19  4.83079E-18  2.3E-03
   1.25000E+04  5.63889E-18  7.21956E-20  1.77144E-19  3.90560E-18  2.0E-06
   1.50000E+04  4.75833E-18  5.21660E-20  1.28987E-19  3.28546E-18  2.1E-06
   1.75000E+04  4.12353E-18  3.96127E-20  9.85579E-20  2.84093E-18  3.5E-06
   2.00000E+04  3.64420E-18  3.12002E-20  7.80315E-20  2.50668E-18  3.8E-06
   2.50000E+04  2.96848E-18  2.09316E-20  5.27891E-20  2.03741E-18  3.7E-06
   3.00000E+04  2.51500E-18  1.51081E-20  3.83537E-20  1.72371E-18  3.1E-06
   3.50000E+04  2.18963E-18  1.14719E-20  2.92813E-20  1.49924E-18  3.5E-06
   4.00000E+04  1.94483E-18  9.04135E-21  2.31842E-20  1.33068E-18  3.7E-06
   4.50000E+04  1.75399E-18  7.33183E-21  1.88764E-20  1.19946E-18  5.3E-06
   5.00000E+04  1.60107E-18  6.08101E-21  1.57120E-20  1.09443E-18  4.9E-06
   6.00000E+04  1.37130E-18  4.40463E-21  1.14504E-20  9.36809E-19  5.3E-06
   7.00000E+04  1.20695E-18  3.35814E-21  8.77486E-21  8.24208E-19  1.0E-07
   8.00000E+04  1.08361E-18  2.65822E-21  6.97680E-21  7.39770E-19  1.0E-07
