    50.00        736.4    
    64.33        745.8    
    82.76        750.4    
    106.5        747.9    
    137.0        752.7    
    176.2        763.2    
    226.7        762.1    
    291.7        762.9    
    375.3        759.5    
    482.8        768.4    
    621.2        772.2    
    799.2        786.8    
    1028.        781.6    
    1323.        785.3    
    1702.        784.3    
    2189.        791.4    
    2817.        805.7    
    3624.        803.8    
    4662.        805.3    
    5998.        821.6    
    7717.        822.5    
    9928.        832.5    
   1.2773E+04    840.2    
   1.6433E+04    840.9    
   2.1142E+04    832.6    
   2.7200E+04    855.6    
   3.4994E+04    862.6    
   4.5021E+04    859.1    
   5.7921E+04    875.0    
   7.4518E+04    882.2    
   9.5871E+04    903.0    
   1.2334E+05    900.7    
   1.5868E+05    910.4    
   2.0415E+05    913.4    
   2.6265E+05    922.4    
   3.3791E+05    926.4    
   4.3474E+05    947.1    
   5.5931E+05    942.5    
   7.1958E+05    951.0    
   9.2577E+05    964.9    
   1.1910E+06    975.3    
   1.5323E+06    968.8    
   1.9714E+06    985.8    
   2.5363E+06    991.6    
   3.2630E+06    1000.    
   4.1980E+06    1005.    
   5.4009E+06    1017.    
   6.9485E+06    998.8    
   8.9396E+06    1037.    
   1.1501E+07    1032.    
   1.4797E+07    1052.    
   1.9037E+07    1047.    
   2.4491E+07    1043.    
   3.1509E+07    1070.    
   4.0538E+07    1072.    
   5.2154E+07    1074.    
   6.7098E+07    1079.    
   8.6324E+07    1080.    
   1.1106E+08    1101.    
   1.4288E+08    1105.    
   1.8382E+08    1105.    
   2.3650E+08    1099.    
   3.0426E+08    1106.    
   3.9145E+08    1117.    
   5.0361E+08    1120.    
   6.4792E+08    1119.    
   8.3358E+08    1152.    
   1.0724E+09    1138.    
   1.3797E+09    1147.    
   1.7751E+09    1148.    
   2.2837E+09    1135.    
   2.9381E+09    1153.    
   3.7800E+09    1160.    
   4.8631E+09    1172.    
   6.2566E+09    1175.    
   8.0494E+09    1191.    
   1.0356E+10    1192.    
   1.3323E+10    1189.    
   1.7141E+10    1197.    
   2.2052E+10    1206.    
   2.8371E+10    1188.    
   3.6501E+10    1209.    
   4.6960E+10    1226.    
   6.0416E+10    1238.    
   7.7728E+10    1237.    
   1.0000E+11    1234.    
