 #  Total cross section table (last run of 'elscata').
 #
 #  Z =  19,   projectile: positron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   2.00000E+06  1.57712E-18  7.77413E-23  2.21912E-22  0.00000E+00  1.0E-05
   2.50000E+06  1.55628E-18  5.46453E-23  1.56386E-22  0.00000E+00  1.0E-05
   3.00000E+06  1.54431E-18  4.07782E-23  1.16919E-22  0.00000E+00  1.0E-05
   3.50000E+06  1.53676E-18  3.17292E-23  9.11053E-23  0.00000E+00  1.0E-05
   4.00000E+06  1.53159E-18  2.54658E-23  7.32064E-23  0.00000E+00  1.0E-05
   4.50000E+06  1.52819E-18  2.09354E-23  6.02415E-23  0.00000E+00  1.0E-05
   5.00000E+06  1.52561E-18  1.75433E-23  5.05231E-23  0.00000E+00  1.0E-05
   6.00000E+06  1.52233E-18  1.28791E-23  3.71414E-23  0.00000E+00  1.0E-05
   7.00000E+06  1.52048E-18  9.88696E-24  2.85439E-23  0.00000E+00  1.0E-05
   8.00000E+06  1.51894E-18  7.84623E-24  2.26730E-23  0.00000E+00  1.0E-05
   9.00000E+06  1.51779E-18  6.38876E-24  1.84759E-23  0.00000E+00  1.0E-05
   1.00000E+07  1.51712E-18  5.30969E-24  1.53659E-23  0.00000E+00  1.0E-05
   1.25000E+07  1.51618E-18  3.57592E-24  1.03633E-23  0.00000E+00  1.0E-05
   1.50000E+07  1.51547E-18  2.58062E-24  7.48761E-24  0.00000E+00  1.0E-05
   1.75000E+07  1.51450E-18  1.95458E-24  5.67693E-24  0.00000E+00  1.0E-05
   2.00000E+07  1.51423E-18  1.53426E-24  4.46020E-24  0.00000E+00  1.0E-05
   2.50000E+07  1.51343E-18  1.02076E-24  2.97227E-24  0.00000E+00  1.0E-05
   3.00000E+07  1.51297E-18  7.29740E-25  2.12806E-24  0.00000E+00  1.0E-05
   3.50000E+07  1.51270E-18  5.48407E-25  1.60154E-24  0.00000E+00  1.0E-05
   4.00000E+07  1.51266E-18  4.27554E-25  1.25034E-24  0.00000E+00  1.0E-05
   4.50000E+07  1.51290E-18  3.42860E-25  1.00403E-24  0.00000E+00  1.0E-05
   5.00000E+07  1.51296E-18  2.81137E-25  8.24388E-25  0.00000E+00  1.0E-05
   6.00000E+07  1.51345E-18  1.98955E-25  5.84930E-25  0.00000E+00  1.0E-05
