7.7 0.9 1.1 5.11000E-04
7.7 1.1 1.3 4.64988E-04
7.9 0.7 1.1 1.02685E-03
7.9 1.5 0.1 2.46928E-04
7.9 1.5 1.9 5.13814E-04
7.9 1.9 1.1 4.55961E-04
8.1 0.9 0.7 3.21411E-04
8.1 0.9 0.9 5.59155E-04
8.1 0.9 1.7 1.17721E-04
8.1 1.1 1.7 4.30762E-04
8.1 1.3 0.1 1.87972E-04
8.3 0.3 1.1 5.70596E-04
8.3 0.5 0.5 2.71553E-04
8.3 0.9 1.5 5.32788E-04
8.3 0.9 1.7 2.21557E-04
8.3 1.1 1.7 1.94192E-04
8.3 1.3 1.9 8.52567E-04
8.3 1.9 1.3 2.88248E-04
8.5 0.1 0.5 5.33098E-04
8.5 0.1 1.5 2.73339E-04
8.5 0.5 0.3 2.39447E-04
8.5 0.5 1.3 1.51584E-03
8.5 1.3 1.7 1.91502E-04
8.5 1.7 0.1 5.81009E-04
8.5 1.7 1.1 8.92860E-04
8.5 1.7 1.3 1.27320E-04
8.5 1.9 1.7 6.15340E-04
8.5 1.9 1.9 1.06071E-03
8.7 0.1 0.1 5.10089E-05
8.7 0.1 0.5 5.66470E-07
8.7 0.1 1.7 4.07107E-04
8.7 0.3 1.5 3.30813E-04
8.7 0.5 1.7 1.93090E-04
8.7 0.5 1.9 1.92514E-04
8.7 0.7 1.5 2.51589E-04
8.7 1.3 0.1 7.27877E-05
8.7 1.5 1.7 8.41279E-05
8.7 1.7 1.5 3.43627E-04
8.7 1.7 1.7 1.41535E-03
8.7 1.7 1.9 2.04708E-03
8.7 1.9 0.7 3.41687E-04
8.7 1.9 0.9 5.63505E-05
8.7 1.9 1.7 1.26590E-03
8.7 1.9 1.9 5.20993E-04
8.9 0.3 0.5 6.40865E-04
8.9 0.3 1.3 1.80187E-04
8.9 0.3 1.5 2.58445E-04
8.9 0.5 0.5 1.33723E-03
8.9 0.5 1.5 2.99730E-04
8.9 0.5 1.7 3.88860E-04
8.9 0.7 0.3 7.79467E-04
8.9 0.9 0.3 3.23908E-04
8.9 0.9 0.5 1.72069E-04
8.9 0.9 1.1 2.85737E-04
8.9 1.1 0.1 2.79591E-04
8.9 1.1 1.5 3.11166E-04
8.9 1.1 1.7 1.63540E-03
8.9 1.3 0.1 5.11000E-04
