 4.380E-02 0.172     0.283     0.511     0.715     0.920      1.19      1.37      1.65      2.14    
 0.269     0.510     0.738      1.12      1.46      1.83      2.22      2.57      3.00      3.67    
 0.708      1.02      1.41      1.91      2.42      3.00      3.53      4.09      4.71      5.57    
 0.945      1.29      1.40      1.98      2.73      3.17      3.77      4.29      4.78      5.54    
  1.16      1.70      2.19      2.79      3.33      3.90      4.49      5.07      5.66      6.38    
  1.36      2.08      2.67      3.30      3.94      4.62      5.18      3.60      3.64      3.95    
 0.522     0.862      1.14      1.40      1.70      1.94      2.26      2.48      2.72      3.95    
 0.630     0.974      1.29      1.58      1.89      2.16      2.49      2.75      3.02      3.95    
 0.736      1.13      1.49      1.82      2.20      2.49      2.86      3.17      3.49      3.95    
 0.959      1.46      1.92      2.34      2.80      3.24      3.64      4.05      4.48      3.95    
 1.470E-02 2.490E-02 4.390E-02 5.920E-02 7.760E-02 8.860E-02 0.108     0.117     0.126     0.128    
 0.121     0.133     0.190     0.234     0.293     0.332     0.395     0.431     0.468     0.502    
 0.397     0.410     0.539     0.648     0.795     0.910      1.06      1.17      1.29      1.42    
 0.581     0.599     0.645     0.839      1.10      1.25      1.47      1.64      1.78      1.99    
 0.779     0.899      1.09      1.28      1.51      1.71      1.96      2.18      2.39      2.62    
  1.07      1.33      1.58      1.82      2.10      2.44      2.74      1.78      1.73      1.80    
 0.314     0.450     0.588     0.692     0.834     0.936      1.09      1.18      1.28      1.80    
 0.328     0.459     0.613     0.735     0.879     0.994      1.15      1.27      1.38      1.80    
 0.339     0.492     0.658     0.789     0.958      1.08      1.25      1.37      1.50      1.80    
 0.343     0.516     0.692     0.836      1.01      1.16      1.31      1.46      1.61      1.80    
 2.160E-03 6.270E-03 8.340E-03 1.080E-02 1.440E-02 1.520E-02 1.960E-02 2.000E-02 2.100E-02 2.240E-02
 2.270E-02 3.740E-02 4.740E-02 5.780E-02 7.220E-02 7.940E-02 9.600E-02 0.102     0.110     0.120    
 8.450E-02 0.122     0.157     0.190     0.232     0.262     0.307     0.335     0.366     0.402    
 0.127     0.182     0.202     0.264     0.344     0.387     0.455     0.504     0.549     0.611    
 0.167     0.263     0.334     0.408     0.482     0.548     0.632     0.700     0.767     0.840    
 0.158     0.276     0.402     0.506     0.609     0.700     0.802     0.638     0.629     0.658    
 8.140E-02 0.147     0.189     0.226     0.272     0.302     0.351     0.378     0.406     0.658    
 7.480E-02 0.121     0.164     0.197     0.235     0.265     0.310     0.339     0.370     0.658    
 6.800E-02 0.110     0.150     0.180     0.222     0.247     0.289     0.318     0.349     0.658    
 5.120E-02 8.370E-02 0.115     0.138     0.169     0.195     0.220     0.245     0.270     0.658    
 5.930E-02 6.530E-02 0.116     0.145     0.184     0.204     0.234     0.257     0.271     0.248    
 0.287     0.196     0.270     0.314     0.373     0.408     0.462     0.498     0.529     0.523    
 0.210     0.379     0.450     0.490     0.574     0.636     0.709     0.769     0.820     0.849    
 0.183     0.464     0.351     0.444     0.642     0.659     0.772     0.830     0.882     0.930    
 0.203     0.565     0.845     0.867     0.906     0.961      1.08      1.13      1.21      1.25    
 0.308     0.739      1.02      1.12      1.26      1.35      1.57      1.94      1.71      1.55    
 0.252     0.864      1.01     0.851     0.837     0.774     0.763     0.757     0.748      1.55    
 0.194     0.211     0.337     0.344     0.339     0.351     0.390     0.419     0.442      1.55    
 0.110     0.104     0.157     0.156     0.210     0.205     0.246     0.274     0.300      1.55    
 2.740E-02 3.610E-02 5.100E-02 5.620E-02 7.030E-02 8.280E-02 8.770E-02 9.960E-02 0.111      1.55    
  0.00     9.180E-03 3.620E-03 8.050E-03 4.360E-03 7.280E-03 4.660E-03 7.070E-03 9.320E-03 1.300E-02
  0.00     4.330E-02 2.180E-02 3.840E-02 2.630E-02 3.850E-02 2.980E-02 4.050E-02 5.040E-02 6.710E-02
  0.00     0.102     6.750E-02 0.104     8.580E-02 0.115     0.102     0.129     0.154     0.194    
  0.00     0.122     8.030E-02 0.136     0.134     0.173     0.164     0.203     0.239     0.300    
  0.00     0.129     0.152     0.237     0.208     0.268     0.258     0.312     0.368     0.450    
  0.00     0.217     0.183     0.324     0.276     0.395     0.393     0.558     0.602     0.681    
  0.00     0.225     0.180     0.276     0.193     0.240     0.190     0.228     0.259     0.681    
  0.00     8.690E-02 7.250E-02 0.113     8.100E-02 0.106     9.510E-02 0.120     0.143     0.681    
  0.00     3.790E-02 3.470E-02 4.770E-02 4.860E-02 5.760E-02 5.690E-02 7.320E-02 8.930E-02 0.681    
  0.00     8.500E-03 8.750E-03 1.180E-02 1.240E-02 1.700E-02 1.540E-02 1.940E-02 2.370E-02 0.681    
  0.00     1.800E-03 2.470E-03 2.080E-03 2.240E-03 2.140E-03 2.260E-03 2.330E-03 2.300E-03 1.940E-03
  0.00     1.510E-02 1.770E-02 1.590E-02 1.730E-02 1.730E-02 1.870E-02 1.960E-02 2.010E-02 1.910E-02
  0.00     3.920E-02 6.150E-02 5.930E-02 6.490E-02 6.740E-02 7.350E-02 7.790E-02 8.170E-02 8.280E-02
  0.00     3.930E-02 7.660E-02 8.720E-02 0.108     0.111     0.123     0.132     0.139     0.145    
  0.00     4.600E-02 0.126     0.174     0.182     0.188     0.208     0.219     0.233     0.239    
  0.00     6.580E-02 0.251     0.267     0.299     0.326     0.386     0.452     0.475     0.409    
  0.00     4.850E-02 0.272     0.273     0.253     0.216     0.206     0.197     0.191     0.409    
  0.00     2.880E-02 0.102     9.220E-02 8.570E-02 8.450E-02 9.320E-02 9.830E-02 0.102     0.409    
  0.00     2.230E-02 3.540E-02 3.120E-02 4.360E-02 4.000E-02 4.890E-02 5.480E-02 6.000E-02 0.409    
  0.00     3.450E-03 5.190E-03 5.330E-03 6.910E-03 8.420E-03 8.440E-03 9.870E-03 1.130E-02 0.409    
  0.00     1.060E-03 7.030E-04 6.870E-04 7.390E-04 6.740E-04 8.190E-04 7.680E-04 7.560E-04 7.200E-04
  0.00     4.570E-03 6.070E-03 6.100E-03 6.770E-03 6.700E-03 7.840E-03 7.870E-03 8.060E-03 8.030E-03
  0.00     5.390E-03 2.220E-02 2.380E-02 2.690E-02 2.800E-02 3.200E-02 3.340E-02 3.500E-02 3.610E-02
  0.00     4.160E-03 2.890E-02 3.600E-02 4.540E-02 4.770E-02 5.490E-02 5.830E-02 6.180E-02 6.540E-02
  0.00     2.890E-03 3.800E-02 6.110E-02 7.880E-02 8.450E-02 9.740E-02 0.103     0.111     0.117    
  0.00     1.980E-03 7.740E-02 0.136     0.149     0.164     0.187     0.210     0.238     0.256    
  0.00     1.370E-03 7.520E-02 0.137     0.152     0.134     0.125     0.119     0.116     0.256    
  0.00     6.680E-04 5.330E-02 5.750E-02 4.930E-02 4.820E-02 5.390E-02 5.580E-02 5.820E-02 0.256    
  0.00     3.380E-04 1.490E-02 1.420E-02 2.150E-02 1.880E-02 2.480E-02 2.780E-02 3.070E-02 0.256    
  0.00     7.220E-05 1.300E-03 1.350E-03 1.890E-03 2.400E-03 2.350E-03 2.810E-03 3.310E-03 0.256    
  0.00      0.00     1.880E-03 1.300E-03 1.380E-03 1.170E-03 1.240E-03 1.190E-03 1.110E-03 8.290E-04
  0.00      0.00     7.020E-03 5.360E-03 5.580E-03 5.100E-03 5.540E-03 5.460E-03 5.380E-03 4.890E-03
  0.00      0.00     8.380E-03 1.300E-02 1.330E-02 1.310E-02 1.410E-02 1.440E-02 1.490E-02 1.520E-02
  0.00      0.00     7.610E-03 1.570E-02 2.140E-02 2.050E-02 2.330E-02 2.410E-02 2.550E-02 2.710E-02
  0.00      0.00     1.370E-02 2.230E-02 3.740E-02 4.360E-02 4.880E-02 4.880E-02 5.240E-02 5.470E-02
  0.00      0.00     2.900E-02 0.122     0.139     0.128     0.129     0.137     0.147     0.167    
  0.00      0.00     2.200E-02 0.155     0.175     0.155     0.116     9.770E-02 8.580E-02 0.167    
  0.00      0.00     2.050E-02 8.080E-02 5.100E-02 4.090E-02 4.060E-02 3.940E-02 3.890E-02 0.167    
  0.00      0.00     5.530E-03 8.620E-03 1.500E-02 1.060E-02 1.450E-02 1.650E-02 1.810E-02 0.167    
  0.00      0.00     2.830E-04 2.720E-04 3.940E-04 5.570E-04 4.800E-04 6.160E-04 7.750E-04 0.167    
  0.00      0.00     3.020E-04 2.580E-04 2.490E-04 2.080E-04 2.480E-04 2.220E-04 2.100E-04 1.870E-04
  0.00      0.00     1.900E-03 1.990E-03 2.050E-03 1.910E-03 2.210E-03 2.140E-03 2.130E-03 2.040E-03
  0.00      0.00     2.280E-03 6.470E-03 6.880E-03 6.870E-03 7.720E-03 7.860E-03 8.110E-03 8.240E-03
  0.00      0.00     2.380E-03 8.030E-03 1.230E-02 1.230E-02 1.400E-02 1.450E-02 1.530E-02 1.600E-02
  0.00      0.00     1.620E-03 1.140E-02 1.980E-02 2.630E-02 3.150E-02 3.230E-02 3.480E-02 3.640E-02
  0.00      0.00     6.990E-04 6.170E-02 7.500E-02 8.010E-02 9.050E-02 9.740E-02 0.105     0.122    
  0.00      0.00     3.260E-04 6.950E-02 8.810E-02 0.106     8.970E-02 7.820E-02 7.060E-02 0.122    
