1.000E-01 3.451E-03 88.4836 3.000E+00 2.308E-02 3.162E+00
1.259E-01 5.483E-03 140.584 6.000E+00 2.905E-02 3.162E+00
1.585E-01 1.089E-02 279.22 1.500E+01 3.657E-02 3.162E+00
1.995E-01 7.496E-03 192.197 1.300E+01 4.604E-02 3.162E+00
2.512E-01 1.099E-02 281.784 2.400E+01 5.797E-02 3.162E+00
3.162E-01 1.091E-02 279.732 3.000E+01 7.298E-02 3.162E+00
3.981E-01 1.936E-02 496.39 6.700E+01 9.187E-02 3.162E+00
5.012E-01 2.227E-02 571.003 9.700E+01 1.157E-01 3.162E+00
6.310E-01 2.060E-02 528.184 1.130E+02 1.456E-01 3.162E+00
7.943E-01 2.824E-02 724.074 1.950E+02 1.833E-01 3.162E+00
1.000E+00 3.267E-02 837.659 2.840E+02 2.308E-01 3.162E+00
1.259E+00 4.067E-02 1042.78 4.450E+02 2.905E-01 3.162E+00
1.585E+00 4.428E-02 1135.34 6.100E+02 3.657E-01 3.162E+00
1.995E+00 4.636E-02 1188.67 8.040E+02 4.604E-01 3.162E+00
2.512E+00 4.818E-02 1235.34 1.052E+03 5.797E-01 3.162E+00
3.162E+00 5.304E-02 1359.95 1.458E+03 7.298E-01 3.162E+00
3.981E+00 5.361E-02 1374.56 1.855E+03 9.187E-01 3.162E+00
5.012E+00 5.555E-02 1424.3 2.420E+03 1.157E+00 3.162E+00
6.310E+00 5.317E-02 1363.28 2.916E+03 1.456E+00 3.162E+00
7.943E+00 4.803E-02 1231.49 3.316E+03 1.833E+00 3.162E+00
1.000E+01 4.479E-02 1148.42 3.893E+03 2.308E+00 3.162E+00
1.259E+01 3.617E-02 927.399 3.958E+03 2.905E+00 3.162E+00
1.585E+01 2.815E-02 721.766 3.878E+03 3.657E+00 3.162E+00
1.995E+01 1.973E-02 505.877 3.421E+03 4.604E+00 3.162E+00
2.512E+01 1.265E-02 324.346 2.762E+03 5.797E+00 3.162E+00
3.162E+01 7.131E-03 182.839 1.960E+03 7.298E+00 3.162E+00
3.981E+01 3.465E-03 88.8426 1.199E+03 9.187E+00 3.162E+00
5.012E+01 1.327E-03 34.0243 5.780E+02 1.157E+01 3.162E+00
6.310E+01 4.194E-04 10.7534 2.300E+02 1.456E+01 3.162E+00
7.943E+01 6.807E-05 1.74531 4.700E+01 1.833E+01 3.162E+00
1.000E+02 1.611E-05 0.41306 1.400E+01 2.308E+01 3.162E+00
1.259E+02 2.742E-06 0.0703049 3.000E+00 2.905E+01 3.162E+00
1.585E+02 0.000E+00 0 0.000E+00 3.657E+01 3.162E+00
1.995E+02 0.000E+00 0 0.000E+00 4.604E+01 3.162E+00
2.512E+02 0.000E+00 0 0.000E+00 5.797E+01 3.162E+00
3.162E+02 0.000E+00 0 0.000E+00 7.298E+01 3.162E+00
