 #  Total cross section table (last run of 'elscata').
 #
 #  Z =  64,   projectile: positron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+02  5.12709E-16  5.82603E-17  9.39736E-17  1.28102E-15  1.0E-05
   1.25000E+02  4.22342E-16  5.28758E-17  8.55276E-17  1.08121E-15  3.5E-06
   1.50000E+02  3.89210E-16  4.92252E-17  8.16753E-17  9.38123E-16  8.0E-06
   1.75000E+02  3.72339E-16  4.65294E-17  7.86881E-17  8.30416E-16  5.8E-06
   2.00000E+02  3.61155E-16  4.40077E-17  7.55273E-17  7.46246E-16  3.0E-05
   2.50000E+02  3.46412E-16  3.96576E-17  6.95334E-17  6.22454E-16  3.0E-06
   3.00000E+02  3.35906E-16  3.61365E-17  6.43066E-17  5.35251E-16  3.9E-05
   3.50000E+02  3.27202E-16  3.32619E-17  5.98350E-17  4.70190E-16  6.4E-06
   4.00000E+02  3.19428E-16  3.08659E-17  5.59824E-17  4.19654E-16  8.8E-06
   4.50000E+02  3.12246E-16  2.88350E-17  5.26347E-17  3.79194E-16  5.7E-06
   5.00000E+02  3.05485E-16  2.70808E-17  4.96882E-17  3.46043E-16  3.6E-05
   6.00000E+02  2.92962E-16  2.41873E-17  4.47309E-17  2.94892E-16  1.9E-05
   7.00000E+02  2.81573E-16  2.18831E-17  4.07127E-17  2.57215E-16  3.3E-05
   8.00000E+02  2.71180E-16  1.99942E-17  3.73846E-17  2.28274E-16  1.9E-05
   9.00000E+02  2.61670E-16  1.84094E-17  3.45770E-17  2.05328E-16  4.5E-06
   1.00000E+03  2.52950E-16  1.70565E-17  3.21735E-17  1.86677E-16  9.7E-03
   1.25000E+03  2.34071E-16  1.43954E-17  2.74387E-17  1.52381E-16  7.3E-03
   1.50000E+03  2.18505E-16  1.24249E-17  2.39300E-17  1.28941E-16  1.2E-02
   1.75000E+03  2.05453E-16  1.09035E-17  2.12153E-17  1.11870E-16  9.7E-03
   2.00000E+03  1.94335E-16  9.69295E-18  1.90456E-17  9.88624E-17  1.0E-02
   2.50000E+03  1.76360E-16  7.89734E-18  1.57937E-17  8.02933E-17  7.5E-03
   3.00000E+03  1.62377E-16  6.64025E-18  1.34746E-17  6.76311E-17  7.7E-03
   3.50000E+03  1.51091E-16  5.71152E-18  1.17277E-17  5.84341E-17  6.7E-03
   4.00000E+03  1.41713E-16  4.99330E-18  1.03536E-17  5.14570E-17  6.1E-03
   4.50000E+03  1.33750E-16  4.42046E-18  9.24170E-18  4.59854E-17  1.8E-02
   5.00000E+03  1.26875E-16  3.95404E-18  8.32477E-18  4.15793E-17  2.3E-02
   6.00000E+03  1.15530E-16  3.24136E-18  6.90340E-18  3.49236E-17  2.5E-02
   7.00000E+03  1.06485E-16  2.72512E-18  5.85825E-18  3.01341E-17  2.5E-02
   8.00000E+03  9.90553E-17  2.33551E-18  5.06099E-18  2.65218E-17  2.0E-02
   9.00000E+03  9.28129E-17  2.03212E-18  4.43503E-18  2.36997E-17  2.5E-02
   1.00000E+04  8.74745E-17  1.78998E-18  3.93197E-18  2.14335E-17  1.5E-02
   1.25000E+04  7.76538E-17  1.35817E-18  3.02596E-18  1.73338E-17  1.0E-06
   1.50000E+04  6.96102E-17  1.07631E-18  2.42650E-18  1.45841E-17  1.0E-07
   1.75000E+04  6.33584E-17  8.80053E-19  2.00399E-18  1.26113E-17  1.0E-07
   2.00000E+04  5.83320E-17  7.36689E-19  1.69199E-18  1.11267E-17  1.0E-07
   2.50000E+04  5.06987E-17  5.43422E-19  1.26582E-18  9.04161E-18  3.1E-07
   3.00000E+04  4.51333E-17  4.21079E-19  9.91928E-19  7.64646E-18  1.2E-06
   3.50000E+04  4.08695E-17  3.37946E-19  8.03553E-19  6.65192E-18  1.0E-07
   4.00000E+04  3.74850E-17  2.78493E-19  6.67485E-19  5.90336E-18  1.0E-07
   4.50000E+04  3.47256E-17  2.34289E-19  5.65460E-19  5.32070E-18  3.8E-06
   5.00000E+04  3.24282E-17  2.00404E-19  4.86678E-19  4.85434E-18  1.9E-06
   6.00000E+04  2.88129E-17  1.52429E-19  3.74123E-19  4.15451E-18  2.3E-06
   7.00000E+04  2.60900E-17  1.20596E-19  2.98636E-19  3.65462E-18  5.1E-06
   8.00000E+04  2.39608E-17  9.82677E-20  2.45209E-19  3.27980E-18  1.9E-05
   9.00000E+04  2.22482E-17  8.19321E-20  2.05818E-19  2.98837E-18  5.5E-05
   1.00000E+05  2.08397E-17  6.95794E-20  1.75829E-19  2.75536E-18  1.4E-04
   1.25000E+05  1.82117E-17  4.91350E-20  1.25721E-19  2.33583E-18  7.9E-04
   1.50000E+05  1.63893E-17  3.69427E-20  9.54775E-20  2.05469E-18  2.9E-03
   1.75000E+05  1.50520E-17  2.90273E-20  7.56494E-20  1.85038E-18  8.0E-03
   2.00000E+05  1.40299E-17  2.35650E-20  6.18526E-20  1.69150E-18  1.8E-02
   2.50000E+05  1.25737E-17  1.66603E-20  4.42391E-20  1.51005E-18  7.9E-06
   3.00000E+05  1.15902E-17  1.25773E-20  3.37030E-20  1.37533E-18  8.8E-06
   3.50000E+05  1.08849E-17  9.93488E-21  2.68192E-20  1.28043E-18  1.0E-07
   4.00000E+05  1.03566E-17  8.11094E-21  2.20296E-20  1.21028E-18  1.0E-07
   4.50000E+05  9.94800E-18  6.78973E-21  1.85361E-20  1.15650E-18  3.1E-07
   5.00000E+05  9.62373E-18  5.79616E-21  1.58932E-20  1.11404E-18  8.5E-07
   6.00000E+05  9.14472E-18  4.41508E-21  1.21921E-20  1.05237E-18  1.0E-07
   7.00000E+05  8.81111E-18  3.51179E-21  9.75067E-21  1.00958E-18  1.0E-07
   8.00000E+05  8.56791E-18  2.88165E-21  8.03569E-21  9.78569E-19  1.0E-07
   9.00000E+05  8.38436E-18  2.42065E-21  6.77385E-21  9.55233E-19  1.0E-07
   1.00000E+06  8.24201E-18  2.07085E-21  5.81182E-21  9.37182E-19  1.0E-07
   1.25000E+06  8.01460E-18  1.49810E-21  4.22665E-21  0.00000E+00  1.0E-07
   1.50000E+06  7.89015E-18  1.14308E-21  3.23759E-21  0.00000E+00  1.0E-05
   1.75000E+06  7.78028E-18  9.04251E-22  2.56843E-21  0.00000E+00  1.0E-05
   2.00000E+06  7.70332E-18  7.36760E-22  2.09734E-21  0.00000E+00  1.0E-05
   2.50000E+06  7.60479E-18  5.20871E-22  1.48762E-21  0.00000E+00  1.0E-05
   3.00000E+06  7.54698E-18  3.90559E-22  1.11806E-21  0.00000E+00  1.0E-05
   3.50000E+06  7.50958E-18  3.05126E-22  8.75045E-22  0.00000E+00  1.0E-05
   4.00000E+06  7.48595E-18  2.45752E-22  7.05774E-22  0.00000E+00  1.0E-05
   4.50000E+06  7.46500E-18  2.02639E-22  5.82644E-22  0.00000E+00  1.0E-05
   5.00000E+06  7.46603E-18  1.70316E-22  4.90202E-22  0.00000E+00  1.0E-05
   6.00000E+06  7.43895E-18  1.25564E-22  3.61979E-22  0.00000E+00  1.0E-05
   7.00000E+06  7.42761E-18  9.67463E-23  2.79262E-22  0.00000E+00  1.0E-05
