 #  Total cross section table (last run of 'elscata').
 #
 #  Z =  41,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+02  1.02058E-15  1.46713E-16  2.32017E-16  9.22639E-16  6.2E-06
   1.25000E+02  8.88003E-16  1.37380E-16  2.02936E-16  7.89354E-16  1.2E-06
   1.50000E+02  7.91881E-16  1.31535E-16  1.79097E-16  6.92353E-16  5.0E-06
   1.75000E+02  7.18606E-16  1.26144E-16  1.58969E-16  6.18346E-16  1.5E-05
   2.00000E+02  6.60916E-16  1.20643E-16  1.42058E-16  5.59829E-16  9.1E-06
   2.50000E+02  5.75738E-16  1.09616E-16  1.16021E-16  4.72725E-16  9.4E-06
   3.00000E+02  5.16055E-16  9.94289E-17  9.76390E-17  4.10359E-16  1.6E-06
   3.50000E+02  4.72671E-16  9.07239E-17  8.45930E-17  3.62698E-16  3.0E-06
   4.00000E+02  4.39422E-16  8.32108E-17  7.50112E-17  3.25021E-16  2.3E-06
   4.50000E+02  4.12740E-16  7.66232E-17  6.77186E-17  2.94518E-16  9.0E-07
   5.00000E+02  3.90564E-16  7.07919E-17  6.19955E-17  2.69336E-16  5.7E-06
   6.00000E+02  3.55222E-16  6.09803E-17  5.35984E-17  2.30188E-16  1.0E-06
   7.00000E+02  3.27632E-16  5.31112E-17  4.76474E-17  2.01159E-16  8.3E-07
   8.00000E+02  3.04128E-16  4.67385E-17  4.31380E-17  1.78752E-16  3.8E-06
   9.00000E+02  2.84002E-16  4.15068E-17  3.95748E-17  1.60931E-16  5.0E-07
   1.00000E+03  2.67212E-16  3.71585E-17  3.66454E-17  1.46411E-16  5.8E-06
   1.25000E+03  2.34887E-16  2.90137E-17  3.10381E-17  1.19645E-16  1.5E-03
   1.50000E+03  2.11287E-16  2.34193E-17  2.69093E-17  1.01309E-16  1.9E-03
   1.75000E+03  1.93058E-16  1.93898E-17  2.36775E-17  8.79462E-17  2.7E-03
   2.00000E+03  1.78425E-16  1.63762E-17  2.10584E-17  7.77667E-17  2.4E-03
   2.50000E+03  1.56180E-16  1.22300E-17  1.70755E-17  6.32512E-17  2.5E-03
   3.00000E+03  1.39949E-16  9.58885E-18  1.42446E-17  5.33297E-17  1.7E-03
   3.50000E+03  1.27430E-16  7.77830E-18  1.21300E-17  4.61182E-17  2.4E-03
   4.00000E+03  1.17390E-16  6.46993E-18  1.04934E-17  4.06414E-17  3.3E-03
   4.50000E+03  1.09105E-16  5.48716E-18  9.19311E-18  3.63409E-17  6.9E-03
   5.00000E+03  1.02120E-16  4.72659E-18  8.13877E-18  3.28747E-17  1.0E-02
   6.00000E+03  9.09210E-17  3.63645E-18  6.54258E-18  2.76313E-17  1.1E-02
   7.00000E+03  8.22727E-17  2.90229E-18  5.40144E-18  2.38527E-17  1.1E-02
   8.00000E+03  7.53483E-17  2.38078E-18  4.55248E-18  2.10001E-17  6.6E-03
   9.00000E+03  6.96532E-17  1.99502E-18  3.90086E-18  1.87700E-17  1.0E-02
   1.00000E+04  6.48713E-17  1.70073E-18  3.38834E-18  1.69782E-17  1.2E-02
   1.25000E+04  5.51612E-17  1.20825E-18  2.49557E-18  1.37341E-17  5.8E-07
   1.50000E+04  4.86240E-17  9.10285E-19  1.93008E-18  1.15579E-17  9.0E-07
   1.75000E+04  4.36276E-17  7.14586E-19  1.54599E-18  9.99674E-18  1.0E-07
   2.00000E+04  3.96690E-17  5.78334E-19  1.27155E-18  8.82211E-18  1.0E-07
   2.50000E+04  3.37662E-17  4.04637E-19  9.11695E-19  7.17216E-18  1.4E-07
   3.00000E+04  2.95543E-17  3.01300E-19  6.91163E-19  6.06825E-18  5.4E-07
   3.50000E+04  2.63859E-17  2.34376E-19  5.45181E-19  5.27938E-18  1.0E-07
   4.00000E+04  2.39101E-17  1.88327E-19  4.43013E-19  4.68622E-18  1.0E-07
   4.50000E+04  2.19195E-17  1.55166E-19  3.68426E-19  4.22441E-18  1.0E-07
   5.00000E+04  2.02825E-17  1.30422E-19  3.12138E-19  3.85469E-18  4.3E-06
   6.00000E+04  1.77466E-17  9.64915E-20  2.33925E-19  3.29978E-18  6.8E-06
   7.00000E+04  1.58714E-17  7.47693E-20  1.83112E-19  2.90325E-18  4.5E-06
   8.00000E+04  1.44276E-17  5.99539E-20  1.48053E-19  2.60592E-18  8.1E-06
   9.00000E+04  1.32814E-17  4.93563E-20  1.22739E-19  2.37472E-18  2.5E-05
   1.00000E+05  1.23493E-17  4.14891E-20  1.03798E-19  2.18986E-18  6.3E-05
   1.25000E+05  1.06372E-17  2.87705E-20  7.28554E-20  1.85738E-18  3.9E-04
   1.50000E+05  9.47163E-18  2.13811E-20  5.46497E-20  1.63553E-18  1.5E-03
