 #  Total cross section table (last run of 'elscata').
 #
 #  Z =  71,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   2.00000E+06  7.51524E-18  1.25085E-21  3.33564E-21  0.00000E+00  1.0E-05
   2.50000E+06  7.41331E-18  8.76187E-22  2.34843E-21  0.00000E+00  1.0E-05
   3.00000E+06  7.35254E-18  6.51527E-22  1.75326E-21  0.00000E+00  1.0E-05
   3.50000E+06  7.31250E-18  5.05207E-22  1.36401E-21  0.00000E+00  1.0E-05
   4.00000E+06  7.28672E-18  4.04145E-22  1.09426E-21  0.00000E+00  1.0E-05
   4.50000E+06  7.26327E-18  3.31190E-22  8.98982E-22  0.00000E+00  1.0E-05
   5.00000E+06  7.26565E-18  2.76758E-22  7.52952E-22  0.00000E+00  1.0E-05
   6.00000E+06  7.23436E-18  2.01963E-22  5.51652E-22  0.00000E+00  1.0E-05
   7.00000E+06  7.22121E-18  1.54197E-22  4.22662E-22  0.00000E+00  1.0E-05
   8.00000E+06  7.21380E-18  1.21739E-22  3.34755E-22  0.00000E+00  1.0E-05
   9.00000E+06  7.20813E-18  9.86350E-23  2.72020E-22  0.00000E+00  1.0E-05
   1.00000E+07  7.20305E-18  8.15815E-23  2.25608E-22  0.00000E+00  1.0E-05
   1.25000E+07  7.19748E-18  5.43210E-23  1.51169E-22  0.00000E+00  1.0E-05
   1.50000E+07  7.19439E-18  3.87805E-23  1.08538E-22  0.00000E+00  1.0E-05
   1.75000E+07  7.19256E-18  2.90707E-23  8.17894E-23  0.00000E+00  1.0E-05
   2.00000E+07  7.19119E-18  2.25949E-23  6.38796E-23  0.00000E+00  1.0E-05
   2.50000E+07  7.18900E-18  1.47583E-23  4.20890E-23  0.00000E+00  1.0E-05
   3.00000E+07  7.18831E-18  1.03780E-23  2.98186E-23  0.00000E+00  1.0E-05
   3.50000E+07  7.18519E-18  7.68593E-24  2.22236E-23  0.00000E+00  1.0E-05
   4.00000E+07  7.18337E-18  5.91610E-24  1.71971E-23  0.00000E+00  1.0E-05
   4.50000E+07  7.18493E-18  4.69164E-24  1.36979E-23  0.00000E+00  1.0E-05
   5.00000E+07  7.17951E-18  3.81018E-24  1.11648E-23  0.00000E+00  1.0E-05
   6.00000E+07  7.17975E-18  2.65497E-24  7.82255E-24  0.00000E+00  1.0E-05
   7.00000E+07  7.18310E-18  1.95450E-24  5.78069E-24  0.00000E+00  1.0E-05
   8.00000E+07  7.18261E-18  1.49820E-24  4.44326E-24  0.00000E+00  1.0E-05
   9.00000E+07  7.18236E-18  1.18464E-24  3.52048E-24  0.00000E+00  1.0E-05
   1.00000E+08  7.18324E-18  9.60018E-25  2.85738E-24  0.00000E+00  1.0E-05
   1.25000E+08  7.18293E-18  6.14702E-25  1.83429E-24  0.00000E+00  1.0E-05
   1.50000E+08  7.18362E-18  4.26912E-25  1.27583E-24  0.00000E+00  1.0E-05
   1.75000E+08  7.18408E-18  3.13626E-25  9.38168E-25  0.00000E+00  1.0E-05
