 #  Total cross section table (last run of 'elscata').
 #
 #  Z =   1,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   2.00000E+06  1.13005E-20  2.72497E-25  7.82121E-25  0.00000E+00  9.7E-04
   2.50000E+06  1.11541E-20  1.90145E-25  5.46761E-25  0.00000E+00  7.6E-04
   3.00000E+06  1.10726E-20  1.41068E-25  4.06192E-25  0.00000E+00  7.8E-04
   3.50000E+06  1.10215E-20  1.09233E-25  3.14861E-25  0.00000E+00  8.0E-04
   4.00000E+06  1.09837E-20  8.73031E-26  2.51864E-25  0.00000E+00  8.1E-04
   4.50000E+06  1.09605E-20  7.15206E-26  2.06482E-25  0.00000E+00  8.2E-04
   5.00000E+06  1.09402E-20  5.97431E-26  1.72587E-25  0.00000E+00  8.3E-04
   6.00000E+06  1.09196E-20  4.36350E-26  1.26184E-25  0.00000E+00  8.5E-04
   7.00000E+06  1.09015E-20  3.33526E-26  9.65294E-26  0.00000E+00  8.5E-04
   8.00000E+06  1.08892E-20  2.63728E-26  7.63812E-26  0.00000E+00  8.6E-04
   9.00000E+06  1.08808E-20  2.14080E-26  6.20391E-26  0.00000E+00  8.7E-04
   1.00000E+07  1.08722E-20  1.77448E-26  5.14502E-26  0.00000E+00  8.7E-04
   1.25000E+07  1.08576E-20  1.18871E-26  3.45037E-26  0.00000E+00  8.8E-04
   1.50000E+07  1.08478E-20  8.54374E-27  2.48209E-26  0.00000E+00  8.9E-04
   1.75000E+07  1.08437E-20  6.45019E-27  1.87528E-26  0.00000E+00  8.9E-04
   2.00000E+07  1.08399E-20  5.04984E-27  1.46913E-26  0.00000E+00  1.0E-03
   2.50000E+07  1.08382E-20  3.34639E-27  9.74681E-27  0.00000E+00  1.2E-03
   3.00000E+07  1.08377E-20  2.38586E-27  6.95633E-27  0.00000E+00  1.5E-03
   3.50000E+07  1.08412E-20  1.78970E-27  5.22316E-27  0.00000E+00  1.7E-03
   4.00000E+07  1.08441E-20  1.39370E-27  4.07118E-27  0.00000E+00  2.0E-03
   4.50000E+07  1.08452E-20  1.11681E-27  3.26526E-27  0.00000E+00  2.2E-03
   5.00000E+07  1.08467E-20  9.15491E-28  2.67900E-27  0.00000E+00  2.5E-03
   6.00000E+07  1.08529E-20  6.48069E-28  1.89971E-27  0.00000E+00  3.0E-03
   7.00000E+07  1.08533E-20  4.83050E-28  1.41835E-27  0.00000E+00  3.5E-03
   8.00000E+07  1.08510E-20  3.73990E-28  1.09990E-27  0.00000E+00  4.0E-03
   9.00000E+07  1.08497E-20  2.98108E-28  8.78098E-28  0.00000E+00  4.5E-03
   1.00000E+08  1.08478E-20  2.43168E-28  7.17323E-28  0.00000E+00  5.0E-03
