  time needed for indexing=  2.3009777E-03  sec
 CHDx       SCIN    
 1 num=         100          24
 Shape=           2         124
 Odd part contains          24  CHD's,
 they are located at the last part
  Nlayer=           2  NCHDx=         124
F CHD #   92 in layer    1 has  comp#=   122
F CHD #   93 in layer    1 has  comp#=   124
F CHD #   94 in layer    1 has  comp#=   125
F CHD #   95 in layer    1 has  comp#=   126
F CHD #   96 in layer    1 has  comp#=   127
F CHD #   97 in layer    1 has  comp#=   129
F CHD #   98 in layer    1 has  comp#=   130
F CHD #   99 in layer    1 has  comp#=   131
F CHD #  100 in layer    1 has  comp#=   132
F CHD #  101 in layer    1 has  comp#=   138
F CHD #  102 in layer    1 has  comp#=   139
F CHD #  103 in layer    1 has  comp#=   140
F CHD #  104 in layer    1 has  comp#=   141
F CHD #  105 in layer    1 has  comp#=   143
F CHD #  106 in layer    1 has  comp#=   144
F CHD #  107 in layer    1 has  comp#=   145
F CHD #  108 in layer    1 has  comp#=   146
F CHD #  109 in layer    1 has  comp#=   148
F CHD #  110 in layer    1 has  comp#=   149
F CHD #  111 in layer    1 has  comp#=   150
F CHD #  112 in layer    1 has  comp#=   151
F CHD #  113 in layer    1 has  comp#=   154
F CHD #  114 in layer    1 has  comp#=   155
F CHD #  115 in layer    1 has  comp#=   156
F CHD #  116 in layer    1 has  comp#=   157
F CHD #  117 in layer    1 has  comp#=   159
F CHD #  118 in layer    1 has  comp#=   160
F CHD #  119 in layer    1 has  comp#=   161
F CHD #  120 in layer    1 has  comp#=   162
F CHD #  121 in layer    1 has  comp#=   164
F CHD #  122 in layer    1 has  comp#=   165
F CHD #  123 in layer    1 has  comp#=   166
F CHD #  124 in layer    1 has  comp#=   167
F CHD #    1 in layer    2 has  comp#=   172
F CHD #    2 in layer    2 has  comp#=   173
F CHD #    3 in layer    2 has  comp#=   174
F CHD #    4 in layer    2 has  comp#=   175
F CHD #    5 in layer    2 has  comp#=   177
F CHD #    6 in layer    2 has  comp#=   178
F CHD #    7 in layer    2 has  comp#=   179
F CHD #    8 in layer    2 has  comp#=   180
F CHD #    9 in layer    2 has  comp#=   182
F CHD #   10 in layer    2 has  comp#=   183
F CHD #   11 in layer    2 has  comp#=   184
F CHD #   12 in layer    2 has  comp#=   185
F CHD #   13 in layer    2 has  comp#=   187
F CHD #   14 in layer    2 has  comp#=   188
F CHD #   15 in layer    2 has  comp#=   189
F CHD #   16 in layer    2 has  comp#=   190
F CHD #   17 in layer    2 has  comp#=   192
F CHD #   18 in layer    2 has  comp#=   193
F CHD #   19 in layer    2 has  comp#=   194
F CHD #   20 in layer    2 has  comp#=   195
F CHD #   21 in layer    2 has  comp#=   199
F CHD #   22 in layer    2 has  comp#=   200
F CHD #   23 in layer    2 has  comp#=   201
F CHD #   24 in layer    2 has  comp#=   202
F CHD #   25 in layer    2 has  comp#=   204
F CHD #   26 in layer    2 has  comp#=   205
F CHD #   27 in layer    2 has  comp#=   206
F CHD #   28 in layer    2 has  comp#=   207
F CHD #   29 in layer    2 has  comp#=   209
F CHD #   30 in layer    2 has  comp#=   210
F CHD #   31 in layer    2 has  comp#=   211
F CHD #   32 in layer    2 has  comp#=   212
F CHD #   33 in layer    2 has  comp#=   214
F CHD #   34 in layer    2 has  comp#=   215
F CHD #   35 in layer    2 has  comp#=   216
F CHD #   36 in layer    2 has  comp#=   217
F CHD #   37 in layer    2 has  comp#=   219
F CHD #   38 in layer    2 has  comp#=   220
F CHD #   39 in layer    2 has  comp#=   221
F CHD #   40 in layer    2 has  comp#=   222
F CHD #   41 in layer    2 has  comp#=   226
F CHD #   42 in layer    2 has  comp#=   227
F CHD #   43 in layer    2 has  comp#=   228
F CHD #   44 in layer    2 has  comp#=   229
F CHD #   45 in layer    2 has  comp#=   231
F CHD #   46 in layer    2 has  comp#=   232
F CHD #   47 in layer    2 has  comp#=   233
F CHD #   48 in layer    2 has  comp#=   234
F CHD #   49 in layer    2 has  comp#=   236
F CHD #   50 in layer    2 has  comp#=   237
F CHD #   51 in layer    2 has  comp#=   238
F CHD #   52 in layer    2 has  comp#=   239
F CHD #   53 in layer    2 has  comp#=   241
F CHD #   54 in layer    2 has  comp#=   242
F CHD #   55 in layer    2 has  comp#=   243
