 #  Total cross section table (last run of 'elscata').
 #
 #  Z =  61,   projectile: positron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+02  5.77914E-16  5.93950E-17  9.53765E-17  1.41176E-15  5.8E-06
   1.25000E+02  4.59597E-16  5.34943E-17  8.66661E-17  1.18827E-15  6.4E-06
   1.50000E+02  4.10651E-16  4.94570E-17  8.19714E-17  1.02855E-15  3.5E-05
   1.75000E+02  3.87449E-16  4.65867E-17  7.88267E-17  9.08781E-16  5.5E-05
   2.00000E+02  3.73046E-16  4.39933E-17  7.56299E-17  8.15344E-16  5.8E-05
   2.50000E+02  3.55708E-16  3.96171E-17  6.96708E-17  6.78252E-16  2.1E-05
   3.00000E+02  3.44494E-16  3.61298E-17  6.45158E-17  5.81947E-16  3.1E-05
   3.50000E+02  3.35620E-16  3.32863E-17  6.00875E-17  5.10298E-16  1.3E-05
   4.00000E+02  3.27830E-16  3.09161E-17  5.62597E-17  4.54777E-16  4.0E-05
   4.50000E+02  3.20595E-16  2.88825E-17  5.28907E-17  4.10461E-16  3.1E-06
   5.00000E+02  3.13800E-16  2.71330E-17  4.99350E-17  3.74196E-16  4.0E-05
   6.00000E+02  3.01071E-16  2.42154E-17  4.49158E-17  3.18414E-16  5.1E-06
   7.00000E+02  2.89420E-16  2.18833E-17  4.08418E-17  2.77431E-16  3.0E-05
   8.00000E+02  2.78726E-16  1.99602E-17  3.74570E-17  2.46022E-16  3.7E-06
   9.00000E+02  2.68926E-16  1.83460E-17  3.46050E-17  2.21151E-16  1.7E-02
   1.00000E+03  2.59931E-16  1.69663E-17  3.21638E-17  2.00959E-16  1.1E-02
   1.25000E+03  2.40436E-16  1.42489E-17  2.73503E-17  1.63880E-16  1.5E-02
   1.50000E+03  2.24388E-16  1.22457E-17  2.37917E-17  1.38559E-16  9.5E-03
   1.75000E+03  2.10947E-16  1.07062E-17  2.10412E-17  1.20128E-16  1.3E-02
   2.00000E+03  1.99520E-16  9.49218E-18  1.88532E-17  1.06079E-16  1.1E-02
   2.50000E+03  1.81077E-16  7.71433E-18  1.55968E-17  8.60168E-17  9.0E-03
