1.000E-01 2.899E-02 7.99254 1.000E+00 2.308E-02 7.943E+00 3.162E+00
1.259E-01 0.000E+00 0 0.000E+00 2.905E-02 7.943E+00 3.162E+00
1.585E-01 3.658E-02 10.0851 2.000E+00 3.657E-02 7.943E+00 3.162E+00
1.995E-01 1.453E-02 4.00592 1.000E+00 4.604E-02 7.943E+00 3.162E+00
2.512E-01 1.154E-02 3.18158 1.000E+00 5.797E-02 7.943E+00 3.162E+00
3.162E-01 4.583E-02 12.6353 5.000E+00 7.298E-02 7.943E+00 3.162E+00
3.981E-01 5.097E-02 14.0524 7.000E+00 9.187E-02 7.943E+00 3.162E+00
5.012E-01 2.892E-02 7.97324 5.000E+00 1.157E-01 7.943E+00 3.162E+00
6.310E-01 3.216E-02 8.86651 7.000E+00 1.456E-01 7.943E+00 3.162E+00
7.943E-01 7.298E-02 20.1206 2.000E+01 1.833E-01 7.943E+00 3.162E+00
1.000E+00 5.797E-02 15.9823 2.000E+01 2.308E-01 7.943E+00 3.162E+00
1.259E+00 7.598E-02 20.9477 3.300E+01 2.905E-01 7.943E+00 3.162E+00
1.585E+00 9.510E-02 26.2191 5.200E+01 3.657E-01 7.943E+00 3.162E+00
1.995E+00 7.554E-02 20.8264 5.200E+01 4.604E-01 7.943E+00 3.162E+00
2.512E+00 1.062E-01 29.2793 9.200E+01 5.797E-01 7.943E+00 3.162E+00
3.162E+00 9.991E-02 27.5452 1.090E+02 7.298E-01 7.943E+00 3.162E+00
3.981E+00 1.048E-01 28.8934 1.440E+02 9.187E-01 7.943E+00 3.162E+00
5.012E+00 8.964E-02 24.7137 1.550E+02 1.157E+00 7.943E+00 3.162E+00
6.310E+00 8.361E-02 23.0513 1.820E+02 1.456E+00 7.943E+00 3.162E+00
7.943E+00 6.459E-02 17.8075 1.770E+02 1.833E+00 7.943E+00 3.162E+00
1.000E+01 4.812E-02 13.2667 1.660E+02 2.308E+00 7.943E+00 3.162E+00
1.259E+01 3.062E-02 8.44193 1.330E+02 2.905E+00 7.943E+00 3.162E+00
1.585E+01 1.152E-02 3.17606 6.300E+01 3.657E+00 7.943E+00 3.162E+00
1.995E+01 6.537E-03 1.80225 4.500E+01 4.604E+00 7.943E+00 3.162E+00
2.512E+01 1.962E-03 0.540923 1.700E+01 5.797E+00 7.943E+00 3.162E+00
3.162E+01 4.583E-04 0.126353 5.000E+00 7.298E+00 7.943E+00 3.162E+00
3.981E+01 7.281E-05 0.0200737 1.000E+00 9.187E+00 7.943E+00 3.162E+00
5.012E+01 0.000E+00 0 0.000E+00 1.157E+01 7.943E+00 3.162E+00
6.310E+01 0.000E+00 0 0.000E+00 1.456E+01 7.943E+00 3.162E+00
7.943E+01 0.000E+00 0 0.000E+00 1.833E+01 7.943E+00 3.162E+00
1.000E+02 0.000E+00 0 0.000E+00 2.308E+01 7.943E+00 3.162E+00
1.259E+02 0.000E+00 0 0.000E+00 2.905E+01 7.943E+00 3.162E+00
1.585E+02 0.000E+00 0 0.000E+00 3.657E+01 7.943E+00 3.162E+00
1.995E+02 0.000E+00 0 0.000E+00 4.604E+01 7.943E+00 3.162E+00
2.512E+02 0.000E+00 0 0.000E+00 5.797E+01 7.943E+00 3.162E+00
3.162E+02 0.000E+00 0 0.000E+00 7.298E+01 7.943E+00 3.162E+00
