 #  Total cross section table (last run of 'elscata').
 #
 #  Z =   3,   projectile: positron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+02  2.61771E-16  8.78672E-18  1.77700E-17  7.56119E-16  7.6E-05
   1.25000E+02  1.60412E-16  7.55839E-18  1.54002E-17  6.20069E-16  2.0E-05
   1.50000E+02  1.16468E-16  6.55359E-18  1.35158E-17  5.26283E-16  3.6E-05
   1.75000E+02  9.30930E-17  5.73340E-18  1.19281E-17  4.57550E-16  2.1E-05
   2.00000E+02  7.87855E-17  5.05878E-18  1.05931E-17  4.04923E-16  1.2E-04
   2.50000E+02  6.20992E-17  4.03332E-18  8.52642E-18  3.29506E-16  1.4E-05
   3.00000E+02  5.25359E-17  3.30469E-18  7.03661E-18  2.77972E-16  1.4E-04
   3.50000E+02  4.61407E-17  2.76802E-18  5.92960E-18  2.40476E-16  1.8E-05
   4.00000E+02  4.14543E-17  2.36016E-18  5.08285E-18  2.11948E-16  2.0E-05
   4.50000E+02  3.78110E-17  2.04179E-18  4.41847E-18  1.89501E-16  2.1E-04
   5.00000E+02  3.48629E-17  1.78785E-18  3.88604E-18  1.71373E-16  6.5E-05
   6.00000E+02  3.03201E-17  1.41109E-18  3.09136E-18  1.43878E-16  2.5E-05
   7.00000E+02  2.69340E-17  1.14782E-18  2.53188E-18  1.24005E-16  3.7E-05
   8.00000E+02  2.42848E-17  9.55476E-19  2.12037E-18  1.08966E-16  2.4E-04
   9.00000E+02  2.21424E-17  8.10007E-19  1.80726E-18  9.71873E-17  4.4E-05
   1.00000E+03  2.03675E-17  6.96928E-19  1.56254E-18  8.77109E-17  5.2E-05
   1.25000E+03  1.70091E-17  5.02831E-19  1.13915E-18  7.05325E-17  1.0E+00
   1.50000E+03  1.46309E-17  3.82127E-19  8.73147E-19  5.89930E-17  7.4E-02
   1.75000E+03  1.28514E-17  3.01381E-19  6.93682E-19  5.07078E-17  1.0E+00
   2.00000E+03  1.14666E-17  2.44450E-19  5.66210E-19  4.44707E-17  1.0E+00
   2.50000E+03  9.44693E-18  1.71039E-19  4.00352E-19  3.57056E-17  6.8E-02
   3.00000E+03  8.04195E-18  1.26954E-19  2.99689E-19  2.98410E-17  1.0E+00
   3.50000E+03  7.00666E-18  9.82914E-20  2.33662E-19  2.56416E-17  9.7E-02
   4.00000E+03  6.21152E-18  7.85412E-20  1.87828E-19  2.24864E-17  7.4E-02
   4.50000E+03  5.58138E-18  6.43224E-20  1.54620E-19  2.00291E-17  1.0E+00
   5.00000E+03  5.06954E-18  5.37275E-20  1.29738E-19  1.80611E-17  1.0E+00
   6.00000E+03  4.28808E-18  3.92432E-20  9.54862E-20  1.51057E-17  1.0E+00
   7.00000E+03  3.71920E-18  3.00181E-20  7.34958E-20  1.29921E-17  1.0E+00
   8.00000E+03  3.28648E-18  2.37636E-20  5.84876E-20  1.14055E-17  1.0E+00
   9.00000E+03  2.94623E-18  1.93187E-20  4.77623E-20  1.01706E-17  1.0E+00
   1.00000E+04  2.67148E-18  1.60386E-20  3.98087E-20  9.18224E-18  1.0E+00
   1.25000E+04  2.25234E-18  1.07967E-20  2.70154E-20  7.40196E-18  1.4E-05
   1.50000E+04  1.89356E-18  7.80045E-21  1.96419E-20  6.21434E-18  1.6E-05
   1.75000E+04  1.63658E-18  5.92113E-21  1.49873E-20  5.36570E-18  1.0E-07
